function,T0,sigma,J,X,lambda_min,trace_M_zeros,trace_M_arith,trace_residual,trace_residual_rel,n_zeros_used,runtime_s,abs_lambda_min,lambda_over_tr
zeta,30.0,1.0,4,50000000,-1.3343683624501716e-14,1.0094457644819723,1.0094457644820107,-3.8413716652030416e-14,3.8054265027050345e-14,13,0.002330780029296875,1.3343683624501716e-14,1.321882174754523e-14
zeta,30.0,1.0,8,50000000,-1.7483675316596866e-14,2.238962755973575,2.238962755973648,-7.283063041541027e-14,3.252873689885971e-14,13,0.0015912055969238281,1.7483675316596866e-14,7.80882811469295e-15
zeta,30.0,1.0,12,50000000,-2.8099924065285386e-14,2.928659260044359,2.9286592600444714,-1.1235457009206584e-13,3.836382457492308e-14,13,0.0019571781158447266,2.8099924065285386e-14,9.59480826214647e-15
zeta,30.0,1.0,16,50000000,-1.403002962058809e-13,4.212458846093398,4.212458846093117,2.8066438062523957e-13,6.662721011162532e-14,13,0.0018482208251953125,1.403002962058809e-13,3.330603368054131e-14
zeta,30.0,1.0,20,50000000,-3.849387741099796e-10,4.9769263852204375,4.9769263842436215,9.768159614509386e-10,1.9626891897611895e-10,13,0.002421140670776367,3.849387741099796e-10,7.734467908810146e-11
zeta,30.0,1.0,24,50000000,-3.591817101885905e-07,5.669894209372087,5.669893512444327,6.96927759946675e-07,1.2291724222908498e-07,13,0.0024170875549316406,3.591817101885905e-07,6.33489262630119e-08
zeta,30.0,1.0,28,50000000,-0.0001151912476898069,6.376745352483299,6.376574862522175,0.00017048996112389858,2.6736203454871314e-05,13,0.0021533966064453125,0.0001151912476898069,1.8064269674019195e-05
zeta,46.13,1.0,4,50000000,-1.3948980394949511e-14,0.8816212629000668,0.8816212629001171,-5.029310301551959e-14,5.704615477408284e-14,18,0.0013179779052734375,1.3948980394949511e-14,1.582196458041944e-14
zeta,46.13,1.0,8,50000000,-2.722418256759881e-14,2.4626898474102754,2.462689847410373,-9.769962616701378e-14,3.967191657112369e-14,18,0.0012409687042236328,2.722418256759881e-14,1.1054653348340766e-14
zeta,46.13,1.0,12,50000000,-3.4666377883104585e-14,3.6906769053295663,3.6906769053297106,-1.4432899320127035e-13,3.91063744953806e-14,18,0.001373291015625,3.4666377883104585e-14,9.39295927883695e-15
zeta,46.13,1.0,16,50000000,-4.0513805446774316e-13,5.222536991987338,5.222536991987849,-5.10702591327572e-13,9.778821904203185e-14,18,0.0015223026275634766,4.0513805446774316e-13,7.757495161629779e-14
zeta,46.13,1.0,20,50000000,-9.667714019934654e-10,6.488014882033138,6.488014882764918,-7.317799699535499e-10,1.1278950237614641e-10,18,0.0018076896667480469,9.667714019934654e-10,1.4900881387782975e-10
zeta,46.13,1.0,24,50000000,-7.369782287622587e-07,7.68655460000431,7.686555114335087,-5.143307770794081e-07,6.691304542078186e-08,18,0.0018634796142578125,7.369782287622587e-07,9.5878877743462e-08
zeta,46.13,1.0,28,50000000,-0.00019628349258311184,9.438246450702412,9.438370339064832,-0.00012388836242038792,1.3126205494577642e-05,18,0.0021715164184570312,0.00019628349258311184,2.0796605980606076e-05
zeta,60.0,1.0,4,50000000,-1.738435069360494e-14,1.7965320213608733,1.796532021360927,-5.3734794391857577e-14,2.9910290355500293e-14,22,0.001180887222290039,1.738435069360494e-14,9.676616106422803e-15
