function,T0,sigma,J,X,lambda_min,trace_M_zeros,trace_M_arith,trace_residual,trace_residual_rel,abs_lambda_min,lambda_over_tr,reliable,rho_RvM,tr_over_J,H1_rel_err,source,tr_Mz,tr_Ma,n_zeros_used
zeta,30.0,1.0,4,50000000,-1.3343683624501716e-14,1.0094457644819723,1.0094457644820107,-3.8413716652030416e-14,3.8054265027050345e-14,1.3343683624501716e-14,1.321882174754523e-14,True,0.2488101558084648,0.2523614411204931,0.0142730721762097,r12_sigma1_X5e7,,,
zeta,30.0,1.0,8,50000000,-1.7483675316596866e-14,2.238962755973575,2.238962755973648,-7.283063041541028e-14,3.252873689885972e-14,1.7483675316596866e-14,7.80882811469295e-15,True,0.2488101558084648,0.2798703444966969,0.1248348910329139,r12_sigma1_X5e7,,,
zeta,30.0,1.0,12,50000000,-2.8099924065285383e-14,2.928659260044359,2.9286592600444714,-1.1235457009206585e-13,3.836382457492308e-14,2.8099924065285383e-14,9.59480826214647e-15,True,0.2488101558084648,0.2440549383370299,0.0191118302867649,r12_sigma1_X5e7,,,
zeta,30.0,1.0,16,50000000,-1.403002962058809e-13,4.212458846093398,4.212458846093117,2.806643806252396e-13,6.662721011162532e-14,1.403002962058809e-13,3.330603368054131e-14,True,0.2488101558084648,0.2632786778808373,0.0581508500943604,r12_sigma1_X5e7,,,
zeta,30.0,1.0,20,50000000,-3.849387741099796e-10,4.9769263852204375,4.9769263842436215,9.768159614509382e-10,1.9626891897611887e-10,3.849387741099796e-10,7.734467908810145e-11,False,0.2488101558084648,0.2488463192610218,0.0001453455645309,r12_sigma1_X5e7,,,
zeta,30.0,1.0,24,50000000,-3.591817101885905e-07,5.669894209372087,5.669893512444327,6.96927759946675e-07,1.22917242229085e-07,3.591817101885905e-07,6.33489262630119e-08,False,0.2488101558084648,0.2362455920571703,0.0504985968537667,r12_sigma1_X5e7,,,
zeta,30.0,1.0,28,50000000,-0.0001151912476898,6.376745352483299,6.376574862522175,0.0001704899611238,2.673620345487132e-05,0.0001151912476898,1.8064269674019195e-05,False,0.2488101558084648,0.2277409054458321,0.0846800255969131,r12_sigma1_X5e7,,,
zeta,46.13,1.0,4,50000000,-1.3948980394949511e-14,0.8816212629000668,0.8816212629001171,-5.029310301551959e-14,5.704615477408284e-14,1.3948980394949511e-14,1.5821964580419442e-14,True,0.3172891350001056,0.2204053157250167,0.3053486822832956,r12_sigma1_X5e7,,,
zeta,46.13,1.0,8,50000000,-2.722418256759881e-14,2.4626898474102754,2.462689847410373,-9.769962616701381e-14,3.9671916571123695e-14,2.722418256759881e-14,1.1054653348340766e-14,True,0.3172891350001056,0.3078362309262844,0.0297927128006386,r12_sigma1_X5e7,,,
zeta,46.13,1.0,12,50000000,-3.4666377883104585e-14,3.6906769053295663,3.690676905329711,-1.443289932012704e-13,3.910637449538061e-14,3.4666377883104585e-14,9.392959278836951e-15,True,0.3172891350001056,0.3075564087774639,0.0306746281199906,r12_sigma1_X5e7,,,
zeta,46.13,1.0,16,50000000,-4.051380544677432e-13,5.222536991987338,5.222536991987849,-5.10702591327572e-13,9.778821904203185e-14,4.051380544677432e-13,7.75749516162978e-14,True,0.3172891350001056,0.3264085619992086,0.0287416932795381,r12_sigma1_X5e7,,,
zeta,46.13,1.0,20,50000000,-9.667714019934654e-10,6.488014882033138,6.488014882764918,-7.317799699535499e-10,1.1278950237614639e-10,9.667714019934654e-10,1.4900881387782975e-10,False,0.3172891350001056,0.3244007441016568,0.0224136546672134,r12_sigma1_X5e7,,,
zeta,46.13,1.0,24,50000000,-7.369782287622587e-07,7.68655460000431,7.686555114335087,-5.143307770794081e-07,6.691304542078187e-08,7.369782287622587e-07,9.5878877743462e-08,False,0.3172891350001056,0.3202731083335129,0.0094045871864042,r12_sigma1_X5e7,,,
zeta,46.13,1.0,28,50000000,-0.0001962834925831,9.438246450702412,9.438370339064832,-0.0001238883624203,1.3126205494577642e-05,0.0001962834925831,2.079660598060608e-05,False,0.3172891350001056,0.337080230382229,0.0623755849128485,r12_sigma1_X5e7,,,
zeta,60.0,1.0,4,50000000,-1.738435069360494e-14,1.7965320213608733,1.796532021360927,-5.3734794391857577e-14,2.9910290355500293e-14,1.738435069360494e-14,9.676616106422804e-15,True,0.3591279558847907,0.4491330053402183,0.2506211170157456,r12_sigma1_X5e7,,,
zeta,60.0,1.0,8,50000000,-3.5812960376017825e-14,2.9371741128958107,2.937174112895925,-1.1457501614131618e-13,3.900858843820963e-14,3.5812960376017825e-14,1.2192998780283136e-14,True,0.3591279558847907,0.3671467641119763,0.0223285547554479,r12_sigma1_X5e7,,,
zeta,60.0,1.0,12,50000000,-4.18543834286842e-14,4.121273681457202,4.121273681457369,-1.6697754290362354e-13,4.051600447087599e-14,4.18543834286842e-14,1.015569133809267e-14,True,0.3591279558847907,0.3434394734547668,0.0436849378416442,r12_sigma1_X5e7,,,
zeta,60.0,1.0,16,50000000,-4.0648868926661097e-13,5.7089659582627545,5.708965958263307,-5.524469770534779e-13,9.676830814762613e-14,4.0648868926661097e-13,7.120180646344334e-14,True,0.3591279558847907,0.3568103723914221,0.0064533641990043,r12_sigma1_X5e7,,,
