N_pairs,lambda_min,lambda_max,tr_Mz,tr_Ma,trace_residual,Q_norm_F
10,-2.2590474653564514,-0.36488131383582434,0.0,21.602596413438427,-21.602596413438427,5.782810861454736
20,-2.2590474653564514,-0.36488131383582434,2.5322923938760486e-136,21.602596413438427,-21.602596413438427,5.782810861454736
30,-2.2590474653564514,-0.36488131383582434,2.687074360930801e-31,21.602596413438427,-21.602596413438427,5.782810861454736
40,-2.23104251008313,-5.056165703890957e-06,3.560341877968204,21.602596413438427,-18.04225453547022,5.335547125846896
50,-1.3714678302191814,1.2910978374111681e-12,20.109850904794797,21.602596413438427,-1.4927455086436296,1.3767442278887556
60,-1.0782168599029095e-11,3.3603608667723734e-11,21.602596413459217,21.602596413438427,2.079048044834053e-11,3.544354894079408e-11
70,-1.0781972392329284e-11,3.3603610025721035e-11,21.602596413459217,21.602596413438427,2.079048044834053e-11,3.54434979501216e-11
80,-1.0781972392329284e-11,3.3603610025721035e-11,21.602596413459217,21.602596413438427,2.079048044834053e-11,3.54434979501216e-11
90,-1.0781972392329284e-11,3.3603610025721035e-11,21.602596413459217,21.602596413438427,2.079048044834053e-11,3.54434979501216e-11
100,-1.0781972392329284e-11,3.3603610025721035e-11,21.602596413459217,21.602596413438427,2.079048044834053e-11,3.54434979501216e-11
110,-1.0781972392329284e-11,3.3603610025721035e-11,21.602596413459217,21.602596413438427,2.079048044834053e-11,3.54434979501216e-11
120,-1.0781972392329284e-11,3.3603610025721035e-11,21.602596413459217,21.602596413438427,2.079048044834053e-11,3.54434979501216e-11
130,-1.0781972392329284e-11,3.3603610025721035e-11,21.602596413459217,21.602596413438427,2.079048044834053e-11,3.54434979501216e-11
