W,N+,lambda_min,tr_res
5,8,-1.208949093094262,-6.5198377505466185
8,12,-1.1453610482113574,-3.421111094261164
10,18,-0.05203420100496156,-0.07297647424867648
12,20,-0.001017112114569604,-0.0012766008171016807
15,26,-2.0282472660055832e-09,-2.0304433689943835e-09
18,30,-7.347407501671937e-12,1.737276988933445e-12
20,33,-7.347374062404388e-12,1.737276988933445e-12
22,37,-7.347374062404388e-12,1.737276988933445e-12
25,41,-7.347374062404388e-12,1.737276988933445e-12
28,46,-7.347374062404388e-12,1.737276988933445e-12
30,49,-7.347374062404388e-12,1.737276988933445e-12
35,58,-7.347374062404388e-12,1.737276988933445e-12
40,62,-7.347374062404388e-12,1.737276988933445e-12
