function,T0,J,lambda_min,trace_residual,tr_Mz,tr_Ma
zeta,30.0,4,-5.045159307303034e-15,-2.886579864025407e-15,1.0094457644819723,1.0094457644819752
L_chi,30.0,4,-0.00014886302879534125,-0.0005343070167809216,4.434862262189144,4.435396569205925
zeta,30.0,8,-2.682885330182761e-14,-1.4210854715202004e-14,2.238962755973575,2.2389627559735894
L_chi,30.0,8,-0.00016330164039013721,-0.0010758580769287818,8.369125773342455,8.370201631419384
zeta,30.0,12,-1.0750221849498487e-13,-1.0436096431476471e-13,2.928659260044359,2.9286592600444634
L_chi,30.0,12,-0.0001755440527946888,-0.001624818462294897,12.13040349445735,12.132028312919646
zeta,30.0,16,-3.312915400093463e-13,-4.3076653355456074e-13,4.212458846093398,4.212458846093829
L_chi,30.0,16,-0.00018682647551636453,-0.002181358786280896,15.717531860190633,15.719713218976914
zeta,30.0,20,-5.507209212215404e-13,-3.4283687000424834e-13,4.9769263852204375,4.97692638522078
L_chi,30.0,20,-0.00019760951320901113,-0.0027456552170370685,20.360028701218553,20.36277435643559
zeta,30.0,24,-8.332092622478872e-13,-3.4283687000424834e-13,5.669894209372087,5.66989420937243
L_chi,30.0,24,-0.00020812598677391142,-0.0033178897124628293,23.862474534330183,23.865792424042645
zeta,30.0,28,-3.3102433315845016e-12,5.423217430688965e-12,6.376745352483299,6.376745352477876
L_chi,30.0,28,-0.0002185144841928288,-0.0038982502672872954,27.700385751541667,27.704284001808954
zeta,46.13,4,-3.4699930063545105e-15,3.1086244689504383e-15,0.8816212629000668,0.8816212629000637
L_chi,46.13,4,-6.0390752700159196e-05,-0.00022504964942360317,4.265676674363842,4.265901724013266
zeta,46.13,8,-3.413453564759563e-14,-8.881784197001252e-16,2.4626898474102754,2.4626898474102763
L_chi,46.13,8,-6.402519015997049e-05,-0.00045137733020261805,9.547773331977224,9.548224709307426
zeta,46.13,12,-5.6116229756874055e-14,-8.881784197001252e-15,3.6906769053295663,3.690676905329575
L_chi,46.13,12,-6.696798310326424e-05,-0.0006789951875738609,13.543189432229159,13.543868427416733
zeta,46.13,16,-2.5584565775553403e-13,9.14823772291129e-14,5.222536991987338,5.222536991987247
L_chi,46.13,16,-6.9577387431442e-05,-0.0009079155290692142,18.19140305620808,18.19231097173715
zeta,46.13,20,-5.942340278855938e-13,-3.348432642269472e-13,6.488014882033138,6.488014882033473
L_chi,46.13,20,-7.198641503945431e-05,-0.0011381508272023666,23.63251183025863,23.63364998108583
zeta,46.13,24,-8.12405532397907e-13,-3.3573144264664734e-13,7.68655460000431,7.686554600004646
L_chi,46.13,24,-7.426159532275226e-05,-0.0013697137224077949,27.238677424433142,27.24004713815555
zeta,46.13,28,-6.879268778860296e-12,-5.32196509084315e-12,9.438246450702412,9.438246450707734
L_chi,46.13,28,-7.64417747569688e-05,-0.0016026170258847117,31.692645713924065,31.69424833094995
zeta,60.0,4,-4.380661211171585e-15,6.661338147750939e-16,1.7965320213608733,1.7965320213608726
L_chi,60.0,4,-3.507891143654579e-05,-0.00013286449053673266,5.0221517908899,5.022284655380437
zeta,60.0,8,-2.3651508934841804e-14,-1.3322676295501878e-14,2.9371741128958107,2.937174112895824
L_chi,60.0,8,-3.667076145219025e-05,-0.00026617370110493255,9.796939061978138,9.797205235679243
zeta,60.0,12,-5.944867873945479e-14,-3.108624468950438e-14,4.121273681457202,4.121273681457233
