T0,J,tr_Mz,lambda_min_original,trace_residual_original,lambda_min_corrected,trace_residual_corrected,Q_norm_F
30.0,4,4.434862262189144,-0.0001488630287953,-0.0005343070167809,-1.0756713008556773e-12,-4.2164050029214195e-12,2.1084611564080575e-12
30.0,8,8.369125773342455,-0.0001633016403901,-0.0010758580769287,-1.090666427133263e-12,-8.42181879789905e-12,2.978396108367121e-12
30.0,12,12.130403494457347,-0.0001755440527946,-0.0016248184622948,-1.1094966001242024e-12,-1.2622458633870792e-11,3.645643375576627e-12
30.0,16,15.717531860190633,-0.0001868264755163,-0.0021813587862808,-1.1202740726198271e-12,-1.6827206295033648e-11,4.2098160276505335e-12
30.0,20,20.360028701218553,-0.000197609513209,-0.002745655217037,-1.1447713988790937e-12,-2.1073920386527334e-11,4.717173728578517e-12
30.0,24,23.862474534330183,-0.0002081259867739,-0.0033178897124628,-7.115987870088167e-11,-8.110601079636126e-11,7.25230403153233e-11
30.0,28,27.700385751541667,-0.0002185144841928,-0.0038982502672872,-2.9153849739836877e-08,-2.147015121245488e-08,3.014335886062862e-08
46.13,4,4.265676674363842,-6.03907527001592e-05,-0.0002250496494236,-1.247176587458668e-12,-4.885869486770389e-12,2.4431469182126446e-12
46.13,8,9.547773331977222,-6.402519015997049e-05,-0.0004513773302026,-1.2546051994512471e-12,-9.763967412368402e-12,3.4525813987519204e-12
46.13,12,13.543189432229159,-6.696798310326424e-05,-0.0006789951875738,-1.2654204579262013e-12,-1.463307253146695e-11,4.2253562062932215e-12
46.13,16,18.19140305620808,-6.9577387431442e-05,-0.0009079155290692,-1.2793875333150488e-12,-1.9509172055620638e-11,4.879987717517071e-12
46.13,20,23.63251183025863,-7.198641503945431e-05,-0.0011381508272023,-1.2975651519833496e-12,-2.4377722063206875e-11,5.455496909073325e-12
46.13,24,27.238677424433142,-7.426159532275226e-05,-0.0013697137224077,-2.5768608734618672e-11,-1.8459234141232628e-11,4.317359402637984e-11
46.13,28,31.692645713924065,-7.64417747569688e-05,-0.0016026170258847,-1.2001883191720266e-08,2.958188138890705e-09,1.9212187094994282e-08
60.0,4,5.0221517908899,-3.507891143654579e-05,-0.0001328644905367,-1.334966601669824e-12,-5.295985872066922e-12,2.6480481836105693e-12
60.0,8,9.796939061978138,-3.667076145219025e-05,-0.0002661737011049,-1.3537900566925471e-12,-1.0594192190183094e-11,3.7460997070359585e-12
60.0,12,14.876026908214268,-3.7935665671304525e-05,-0.0003999301185384,-1.3671748214030833e-12,-1.589484099895344e-11,4.589432595846948e-12
60.0,16,19.493850341874143,-3.904011284766136e-05,-0.0005341362491328,-1.3793480835011836e-12,-2.1169732633552485e-11,5.294148285866685e-12
60.0,20,24.100422926498283,-4.00459793089773e-05,-0.000668794618992,-1.42625654853313e-12,-2.6542767983528393e-11,5.938218256385376e-12
60.0,24,29.85379106604094,-4.098423270189291e-05,-0.0008039077740278,-1.0081935059517511e-10,-1.1181167103302414e-10,1.026031930261039e-10
60.0,28,34.52098110313605,-4.187295442160233e-05,-0.0009394782803511,-4.374610462880434e-08,-3.2903332725098267e-08,4.5060359911760366e-08
85.7,4,5.326923953205629,-1.6901578652412227e-05,-6.50664247388022e-05,-1.4760346440440774e-12,-5.856870544107551e-12,2.9284898543032675e-12
85.7,8,10.529821068101278,-1.742846738319536e-05,-0.0001302393758386,-1.4985259325711944e-12,-1.1684320178062535e-11,4.1315811621318036e-12
85.7,12,15.975576580772545,-1.783958903871092e-05,-0.0001955191443947,-1.5288787127374337e-12,-1.7557622022934538e-11,5.06995580358952e-12
85.7,16,21.781061539798486,-1.819330475809765e-05,-0.0002609060224401,-1.5550101991560273e-12,-2.3390955838920036e-11,5.850829059034981e-12
85.7,20,27.020548599744433,-1.851132572290124e-05,-0.0003264003032725,-1.5718541636788535e-12,-2.9247826383027586e-11,6.545177482428907e-12
85.7,24,32.66963194265274,-1.880452912603632e-05,-0.0003920022812735,-3.61314875238812e-11,-5.93080029531734e-11,3.78503592103219e-11
85.7,28,37.506734464406904,-1.90792718703497e-05,-0.0004577122519151,-1.7057848416998837e-08,-1.1504916797022702e-08,1.7943482687400306e-08
120.0,4,5.76049429056987,-8.523297319172743e-06,-3.317196672281142e-05,-1.619922386664035e-12,-6.370903804508998e-12,3.185660623402288e-12
120.0,8,12.054912743930469,-8.710711709339166e-06,-6.637160534594955e-05,-1.64737980886346e-12,-1.2747802813350972e-11,4.5077936078604075e-12
120.0,12,17.46729091865788,-8.855224789864076e-06,-9.959895438527155e-05,-1.6890995046313651e-12,-1.91517912639938e-11,5.531303362737122e-12
120.0,16,22.8973180088437,-8.978382320243236e-06,-0.0001328540523779,-1.7596582200142801e-12,-2.5546897930439627e-11,6.394901513964232e-12
120.0,20,28.62986123053192,-9.088202429560634e-06,-0.000166136938148,-1.918162988972555e-12,-3.2161384666551385e-11,7.2121767794171435e-12
120.0,24,34.93273912804546,-9.1887042171785e-06,-0.0001994476499405,-8.59632842482128e-11,-1.0541434392052906e-10,8.772398097383405e-11
120.0,28,40.3333171007786,-9.28223812731086e-06,-0.0002327862271229,-3.7505336897994915e-08,-2.7635715271756567e-08,3.8777187166422784e-08
