L,Delta3_Riemann,Delta3_Riemann_SE,Delta3_GUE_numerical,Delta3_GUE_SE,Delta3_GUE_asymptotic,discrepancy,sigma_sum,z_score,dDelta_dlogL,gap_from_plateau,frac_gap,rel_dev_gue
2,0.0937473120909319,0.0006484471381447,0.094411840744002,0.0002020251077559,0.2912517305574452,0.0006645286530700956,0.0006791891011580167,0.9784147771763047,0.04322584357158225,0.09700999856853831,0.5085519303724899,0.007038615578653605
3,0.1112738834277501,0.0007129255701312,0.1151563054361375,0.0003728594758746,0.3323339352366329,0.0038824220083873984,0.0008045415199331716,4.825632875615777,0.04362952489237837,0.07948342723172011,0.41667303316940596,0.033714367560536945
4,0.1239077124482959,0.000733322517146,0.1298033869289499,0.0004626645353296,0.3614822233301281,0.005895674480654006,0.0008670757673958488,6.7994916965110335,0.04290682484918856,0.06684959821117431,0.35044317819362975,0.045420035795222385
5,0.1333074322193488,0.0007303345774024,0.140982299775747,0.0005671204589069,0.3840913920714386,0.007674867556398207,0.000924669784225869,8.300117174071591,0.04033562036871313,0.05744987844012142,0.30116737461600035,0.054438518655222735
6,0.140395060875442,0.0007402172098224,0.1504422134621427,0.0006127479797858,0.4025644280093158,0.010047152586700692,0.0009609274709616943,10.455682546618759,0.040033115565857536,0.0503622497840282,0.26401216084416396,0.06678413163090663
7,0.1467172201166539,0.0007262066781755,0.1587598081268924,0.0008784430693283,0.4181831573486846,0.012042588010238497,0.001139753642449814,10.565957029410205,0.040152361505987166,0.044040090542816324,0.2308697390970999,0.0758541355795365
9,0.156455525316721,0.0006879530372568,0.1707961062056912,0.0006576053952299,0.4436466326885034,0.014340580888970195,0.0009516954540746367,15.068455804398047,0.0365752621436789,0.03430178534274922,0.17981898163778864,0.08396316056350671
11,0.1634467272014892,0.0006228815687652,0.1807544380644579,0.0004385712576387,0.4639788250750596,0.0173077108629687,0.0007617914391315956,22.71974975552184,0.029820832546206932,0.027310583457981014,0.1431692623656999,0.0957526191240554
14,0.1691839449916544,0.0004822308092794,0.1940537313229837,0.0007651077949382,0.4884136501213675,0.024869786331329302,0.0009043984140263957,27.498706262219798,0.018118195005346338,0.021573365667815814,0.11309325757022984,0.12815927919435852
17,0.1718151473799717,0.0003818349227511,0.2035637707833266,0.0011321300428578,0.5080857673158042,0.03174862340335491,0.001194787153502055,26.57261865454122,0.009143400712141425,0.01894216327949852,0.09929980252926222,0.1559640169819224
21,0.1727333519447654,0.0003223633812621,0.2148000309018762,0.0016037927493154,0.5294958548005553,0.042066678957110776,0.001635869595149743,25.715178692626846,0.007481921176161088,0.018023958714704802,0.09448633267261884,0.19584112153283373
26,0.1750083749659792,0.0003067826827705,0.2241419676826121,0.0020832923789084,0.551135435438102,0.049133592716632896,0.0021057594236915302,23.332956350017696,0.00916339860560661,0.015748935693491006,0.08256006356477298,0.2192074658067011
