L,Delta3_Riemann,Delta3_Riemann_SE,Delta3_GUE_numerical,Delta3_GUE_SE,Delta3_GUE_asymptotic
2,0.09374731209093191,0.0006484471381447059,0.09441184074400202,0.0002020251077559129,0.29125173055744524
3,0.11127388342775012,0.0007129255701312942,0.11515630543613757,0.000372859475874605,0.33233393523663296
4,0.12390771244829592,0.0007333225171460398,0.12980338692894994,0.00046266453532962346,0.36148222333012814
5,0.13330743221934885,0.0007303345774024502,0.140982299775747,0.0005671204589069383,0.3840913920714386
6,0.140395060875442,0.0007402172098224384,0.15044221346214276,0.0006127479797858861,0.40256442800931586
7,0.1467172201166539,0.0007262066781755963,0.15875980812689244,0.0008784430693283858,0.4181831573486846
9,0.15645552531672108,0.0006879530372568742,0.17079610620569124,0.000657605395229918,0.44364663268850346
11,0.16344672720148923,0.000622881568765252,0.18075443806445796,0.00043857125763875214,0.46397882507505966
14,0.16918394499165448,0.0004822308092794969,0.19405373132298379,0.0007651077949382709,0.4884136501213675
17,0.17181514737997178,0.0003818349227511212,0.20356377078332666,0.0011321300428578389,0.5080857673158042
21,0.17273335194476544,0.00032236338126215687,0.2148000309018762,0.0016037927493154098,0.5294958548005553
26,0.17500837496597926,0.00030678268277052476,0.22414196768261213,0.0020832923789084103,0.551135435438102
32,0.1766105239826732,0.0002721335718212471,0.23180194085932268,0.001861171057168678,0.5721737016481768
40,0.17802687301927636,0.000227811795128319,0.243730072563969,0.0018807915258377864,0.5947828703894873
50,0.17944301619761346,0.0002059048015058463,0.2545723642633092,0.002244632165955571,0.6173920391307977
62,0.18074231999903684,0.00018908642936033,0.26530768767013163,0.00241926874412983,0.6391873787285229
76,0.1818700866707227,0.0001710050440339415,0.27790400053224557,0.0025748805159076997,0.6598162658619086
95,0.1830152218927515,0.00015676615139335756,0.28830173692808475,0.0022529859701654656,0.6824254346032191
117,0.18407538822840894,0.0001462210892185397,0.3006732742108681,0.004291514014135588,0.7035303375691601
145,0.18512061334819896,0.0001363656807329437,0.30857987701169853,0.003154486786631184,0.7252697912395762
180,0.18615940807470235,0.00012911127967898064,0.31944214543605187,0.006328386574630071,0.7471777725205454
223,0.1871638445033213,0.00012543827288981647,0.32990627035237113,0.0046725547529729485,0.768882281826538
276,0.18815298303700506,0.00012054148351674777,0.34204219444821427,0.005286111325978207,0.790486906043644
342,0.18910382066366407,0.0001155664685545672,0.35529003776761686,0.0071079066814508825,0.8122111679929669
424,0.19004340273451217,0.00011168726160070028,0.36432303035920677,0.00843075416630536,0.8339873921895142
526,0.1907555646791581,0.00011163449130645713,0.36678225992050684,0.01308456122316067,0.8558289725351216
651,0.19075845251124407,0.00012270443820727253,0.38162705038182193,0.010987020259348796,0.8774315029716329
807,0.19075789798711867,0.000135548588994805,0.385875430892508,0.012888476420009815,0.8991967143551478
1000,0.19075488729601747,0.00014993074736816402,0.4034343621540291,0.01940161266953729,0.9209231789628398
