r_center,obs_count_riemann,gue_count_N1000,gue_count_N600,z_obs_vs_GUE_N1000,surmise_density
0.01,30,13,20,-0.5773543635452665,0.0010940093792716475
0.03,174,69,196,-0.722317178026543,0.009438143638746108
0.05,438,186,530,-1.9584751198348451,0.025076445166667072
0.07,853,330,1006,-1.2034718729060112,0.04691666853217662
0.09,1328,586,1532,-4.233223635597811,0.07389349884165142
0.11,1884,735,2185,-1.986928874488787,0.1049882896225558
0.13,2450,1009,2875,-3.760122379009183,0.1392442155434131
0.15000000000000002,3294,1381,3703,-4.94534392171582,0.17577721347107939
0.16999999999999998,3873,1558,4319,-3.9034276305017874,0.21378316760241883
0.19,4722,1919,5143,-4.703173116300565,0.2525418381411927
0.21000000000000002,5501,2096,6008,-2.4456459918743554,0.2914180453739686
0.22999999999999998,6116,2447,6857,-4.668798342045558,0.32986060910601034
0.25,7117,2791,7644,-4.101887599190389,0.36739951381710423
0.27,7727,2958,8236,-3.1205711978321498,0.40364172838070184
0.29000000000000004,8487,3095,8924,-0.9009338860512681,0.4382660606402422
0.31,9202,3391,9551,-1.462017175472845,0.47101737549382455
0.33,9672,3652,10346,-2.7655136739164377,0.5017004534388201
0.35,10343,3914,10743,-2.979940015371089,0.5301737169903068
0.37,11064,4003,11535,-0.5970930970778392,0.556343006524212
0.39,11506,4174,11687,-0.7566408223136025,0.5801555458359542
0.41000000000000003,11955,4363,12093,-1.1124302622924582,0.601594201511456
0.43,12384,4391,12517,0.5228289343666064,0.620672109188345
0.45,12670,4630,12913,-1.2220249154357394,0.6374277137924512
0.47,13074,4637,13251,0.5202636736591295,0.6519202495443414
0.49,13347,4942,13474,-2.050609991513214,0.66422566850972
0.51,13695,4910,13437,-0.11474314692031669,0.674433013226132
0.53,13944,4848,13717,1.7284665697412844,0.6826412189688916
0.55,13852,4920,13935,0.4492291523972114,0.6889563240237613
0.5700000000000001,14008,4941,13903,0.8700195578450675,0.6934890614442453
0.59,13985,5040,13870,-0.4313211864387685,0.6963528027597381
0.61,14046,4861,13945,2.008900429384497,0.697661822586644
0.63,14142,5065,13940,-0.053161532306967484,0.6975298527466646
0.65,14223,5015,13926,0.8988446435599071,0.6960688950317893
0.67,14080,4855,13676,2.2281112783245156,0.693388262937019
0.6900000000000001,14246,4993,13753,1.2631611330526495,0.6895938243141466
0.71,13870,4890,13507,0.8941375133450095,0.6847874188249827
0.73,13839,4872,13630,0.9797168596858309,0.6790664261648888
0.75,13577,4722,13426,1.6857557754847474,0.6725234631897459
