j,N,B,E,Delta,j2_Delta
1,2,-0.4426950408889634,0.03266314987128016,0.03266314987128016,0.03266314987128016
2,4,-0.5742817879602824,0.059533344902666,0.026870195031385838,0.10748078012554335
3,8,-0.41519070507054673,0.07800838657754666,0.018475041674880663,0.16627537507392598
4,16,-0.8728043563256352,0.09424297043808659,0.016234583860539928,0.25975334176863885
5,32,0.11076012272268715,0.10109306622439318,0.00685009578630659,0.17125239465766473
6,64,-0.5282459587320076,0.10637189658965286,0.005278830365259682,0.19003789314934855
7,128,-0.39280815644716816,0.1096137075660615,0.0032418109764086322,0.15884873784402298
8,256,-1.0254610391768428,0.11169893638178356,0.0020852288157220678,0.13345464420621234
9,512,0.22094388560485015,0.11267788013319141,0.0009789437514078486,0.07929444386403574
10,1024,-0.11129947639069698,0.11365975082017671,0.0009818706869852978,0.09818706869852978
11,2048,-1.2168763343018483,0.11441947676037639,0.0007597259401996848,0.09192683876416186
12,4096,0.9900234668392739,0.11508446447213617,0.0006649877117597819,0.09575823049340859
13,8192,-1.966117229995786,0.1154202492506364,0.00033578477850022825,0.056747627566538575
14,16384,2.22276200556645,0.11584185323502297,0.0004216039843865649,0.08263438093976672
15,32768,-3.3350200340913707,0.11618800492488383,0.00034615168986086575,0.0778841302186948
16,65536,-6.578895034692456,0.1164841565739826,0.00029615164909876923,0.07581482216928492
17,131072,1.2117209932755668,0.1166637807037595,0.0001796241297769008,0.05191137350552433
18,262144,-9.065444180484581,0.1168505549537813,0.0001867742500217956,0.06051485700706177
19,524288,13.779342033757217,0.1171117083083082,0.00026115335452689403,0.09427636098420875
20,1048576,-10.825487534025722,0.11725819408591816,0.00014648577760996428,0.058594311043985714
21,2097152,3.758204807359683,0.11742658339370365,0.00016838930778549643,0.07425968473340393
22,4194304,8.631695418408263,0.11758062240747301,0.00015403901376935536,0.074554882664368
23,8388608,-14.434520143774051,0.11771638008424823,0.00013575767677521944,0.07181581101409108
