N,refine,nc,dimA,lam,src,rho,dN,minC,c_right,c_sym,c_anti
2,4,4,8,0.02792384224914112,nan,nan,0.0,0.0,nan,nan,nan
2,6,6,12,0.01830105151018642,nan,nan,0.0,0.0,nan,nan,nan
2,8,8,16,0.01213879997555516,nan,nan,0.0,0.0,nan,nan,nan
3,4,4,8,0.03914344669366988,4.9742773039288455,0.0020096057845100054,0.8026339022172055,0.035768956250298856,0.669736427753287,0.5426831866609225,0.6903446822060576
3,6,6,12,0.029800543709774856,4.95825187643315,0.002909136641030041,0.8026339022171987,0.023597033008316736,0.5464194850763824,0.33510692779791684,0.5664718867775147
3,8,8,16,0.02052296053510635,4.9504281622457444,0.003385405611170809,0.8026339022172064,0.017595915613836093,0.4156467605024486,0.2309493995187396,0.4346723696338535
4,4,4,8,0.06873668500959869,4.520771940332876,0.0012641085411527469,0.7811027473082536,0.03161316618967645,1.0906519259098775,0.9592796630975915,1.0603583656549378
4,6,6,12,0.04820106236975434,4.513199056903481,0.0018730753858666879,0.7811027473082517,0.020839906823920087,0.7399233864180839,0.621087523804485,0.7434161957454039
4,8,8,16,0.03743171186169178,4.509211273765315,0.0022135482615133037,0.7811027473082517,0.015531463193635579,0.5822474670707388,0.4499242715682533,0.5768243353658968
5,4,4,8,0.026024919718861103,4.407223098683905,0.0072588302903945435,2.0465405501186202,0.06189724991265603,0.2407560586391804,0.12237862615767535,0.36748300749815466
5,6,6,12,0.023050972656500503,4.398401971987365,0.008177113165205184,2.046540550118621,0.04074535704112594,0.20972876267639362,0.10841413026894046,0.31752378709502865
5,8,8,16,0.01713605195364598,4.393146572014745,0.00883648631372098,2.0465405501186136,0.03040583713512901,0.1813426895676342,0.07970951549433046,0.29591080849796514
7,4,4,8,0.052401438525639346,4.308503147231189,0.01674159059449367,3.3333534806136496,0.0701010485204872,0.1958517556250987,0.20167644811601307,0.18607566224254055
7,6,6,12,0.04120567680956173,4.307477851388598,0.015397055178552537,3.333353480613642,0.0470846692102983,0.13943861445896683,0.13070032658150732,0.14497541407317205
7,8,8,16,0.03360945949147032,4.297824854929585,0.018247511740109384,3.3333534806136584,0.03466062195167419,0.11660914927937366,0.11185861411290346,0.11731699846832391
8,4,4,8,0.05310631852999846,4.168445854585061,0.0161408633815675,3.0812533084262497,0.06101375077803202,0.20497664051255607,0.18437014571046892,0.21352029190077979
8,6,6,12,0.04710841894664972,4.141644913338818,0.02421031519255509,3.081253308426257,0.03960486975644223,0.1998518464169019,0.19502581507138983,0.1830501352672186
8,8,8,16,0.03356280248407373,4.145146580266895,0.022098438851734747,3.0812533084262457,0.030083285506177622,0.14272033578581333,0.14118983691707843,0.13002064824492784
9,4,4,8,0.05618659483671349,4.031564910857351,0.01498707204970529,3.3759623517549926,0.055212847286138136,0.2564123287207504,0.18592607646714712,0.33498132202345876
9,6,6,12,0.04862380064316758,4.017189643053641,0.018772417305916677,3.3759623517550077,0.03631856832433457,0.1732911448936348,0.15860392512285978,0.1770350645202728
9,8,8,16,0.03872355386965974,4.009059479960881,0.020955797686385436,3.3759623517550033,0.027150202618155206,0.1706189711279644,0.12737785012935884,0.21899825096362624
11,4,4,8,0.05417113004088914,4.0414655385755065,0.005970381067720548,4.845878032505866,0.06815029774719265,0.16575487386148535,0.13255593964118106,0.20223515788279453
11,6,6,12,0.04874276992612086,4.029879017615653,0.008591993611483679,4.845878032505845,0.04449824779779946,0.15372678422353306,0.1192015268944044,0.19223534460332597
11,8,8,16,0.04499198288464927,4.027889182772275,0.008720512216693257,4.845878032505869,0.0330377628432356,0.1357992383697301,0.10946019973643235,0.16492794470410635
13,4,4,8,0.06909474686702191,3.881832807439214,0.016737490326597163,5.890183675947364,0.07392117543471766,0.2023402165064705,0.14772523247648883,0.25995730133254613
13,6,6,12,0.05455544550652,3.8615741534530628,0.02308238237170511,5.890183675947331,0.048573867431673495,0.1563630182033779,0.11780088865027684,0.19741084764115824
13,8,8,16,0.05472912129879945,3.8562538197087872,0.024409624670452226,5.890183675947387,0.03632889524682233,0.1365921233888084,0.11686244465544353,0.15775424112942138
16,4,4,8,0.0634421735332407,4.10038166766134,0.0071221263522837,5.560208427783082,0.06097591962076648,0.1891305016295628,0.21090496758746247,0.15387398797236113
16,6,6,12,0.06057588607944177,4.089965366228371,0.009510932212871307,5.560208427783106,0.04024624265548299,0.18929993671213674,0.22780831272404212,0.14653093838809436
16,8,8,16,0.049237554561693375,4.086410996316251,0.01018394310068962,5.56020842778313,0.029981083853517904,0.15477072077665954,0.18102749226635673,0.1186251920203004
17,4,4,8,0.06901731160307892,3.8792292264948003,0.01069607250557721,7.041969537911813,0.06988838975120278,0.1402934998989422,0.1330004442849642,0.1479074379330241
17,6,6,12,0.06246429542366341,3.8655964540976964,0.014868078484074473,7.041969537911807,0.045442806733930904,0.12537100775358753,0.12037794638152921,0.12975579620289987
17,8,8,16,0.04453960140893724,3.8597394140053005,0.01658212833758325,7.041969537911796,0.03369968230290532,0.09315869124941839,0.08534378701015327,0.10124636134740406
19,4,4,8,0.06997745606112746,3.8704596715801904,0.011148761513706015,8.624430298771465,0.07599395258598418,0.14494889320720525,0.11749260637085968,0.17404009279823948
19,6,6,12,0.04923701838800582,3.8579353409318267,0.014773709403272129,8.624430298771447,0.04964305648043988,0.09688494851424537,0.08204322120587006,0.11245384750487435
19,8,8,16,0.056769951873660504,3.853855912610173,0.015556450764663221,8.62443029877148,0.03708964521143041,0.10796117869442556,0.09458972899447621,0.12193743625227232
23,4,4,8,0.07703524748226494,3.993920201150614,0.015484489109064803,10.012901487722745,0.06968753032227179,0.12506934526387967,0.11772464471915565,0.1327237699257472
23,6,6,12,0.06773282040637048,3.9796281324644864,0.019377317376494462,10.012901487722637,0.04615998261466841,0.1100731644023419,0.1034002493515566,0.11701662253789907
23,8,8,16,0.05869199569902103,3.9749593424332215,0.020422323283055554,10.012901487722724,0.03435925420886922,0.09798268704975158,0.08974172648135872,0.1065906602363898
25,4,4,8,0.08403063042246067,3.920848462608371,0.00969766350839471,9.879265268844689,0.06680082926402998,0.15144102770887938,0.13244572163367885,0.17117136609549635
25,6,6,12,0.076005219822176,3.901713775092987,0.0155412448410333,9.879265268844712,0.04381232456700373,0.1356961677952229,0.12016104004252577,0.15171275776948795
25,8,8,16,0.0636303857342637,3.895343354162453,0.01731252677397673,9.879265268844698,0.03282135583598105,0.10885670423765872,0.10051663964614849,0.1174239693199669
27,4,4,8,0.08619850436867633,3.9083038059323547,0.007921493783117121,9.779129635627925,0.06177043310498666,0.15313633356298062,0.14012485444802153,0.16633098421685494
27,6,6,12,0.07946725297666417,3.8940998974585908,0.0120479182754225,9.779129635627882,0.04041428148628382,0.13965614428166556,0.12841405980815487,0.15103212349744405
27,8,8,16,0.056030174781196665,3.887236550736231,0.013986355148444766,9.779129635627884,0.030110451946488908,0.10842096027504158,0.09074032438923993,0.1264636199387916
29,4,4,8,0.09107828853526692,3.7280007092776395,0.014206225039322968,10.683552612170534,0.06247089960686014,0.14513318375241638,0.14044345923437057,0.14924332651567873
29,6,6,12,0.07958321332003576,3.716000549290589,0.01769863446116252,10.683552612170548,0.04093125412777966,0.12463141227282447,0.12389202218965252,0.1253474702487802
29,8,8,16,0.05376833973472555,3.7103613118056655,0.01928513950244507,10.68355261217052,0.030439962339349494,0.09050982967291157,0.0830674740849045,0.09785250186706737
31,4,4,8,0.09154389453029842,3.64485022517894,0.010030353456902749,11.736573112084432,0.06798554718230723,0.14161334075292736,0.1347438271720386,0.14866764230584315
31,6,6,12,0.07127335984257648,3.630705569593113,0.014376800897427587,11.736573112084388,0.04462055057553472,0.10792575030260299,0.1037201496830114,0.11217163144324
31,8,8,16,0.07198219219546884,3.6266276995475475,0.015421629043964701,11.736573112084345,0.033277897241345264,0.11091858483981815,0.11389495587109004,0.10759670092062587
32,4,4,8,0.08841520539418958,3.6169987260859693,0.010140633464894426,11.593457996876868,0.06533696400596538,0.14900713876523358,0.13239224586072126,0.1660187951170075
32,6,6,12,0.0726189862544139,3.6022100031068316,0.014792570738396243,11.59345799687686,0.04294862305235378,0.12891299006687568,0.10705118674597144,0.15134931554242842
32,8,8,16,0.07539343359052175,3.597931228625448,0.015932884141497163,11.593457996876868,0.03201628348673135,0.12384759208512444,0.11224740519317154,0.13574769439173515
37,4,4,8,0.08939853549247276,3.6839159736342193,0.01246189851000678,12.556153333631405,0.06046618049351654,0.14354489164984063,0.1287826334699381,0.15853428148129758
37,6,6,12,0.08408826492672719,3.6708872033267106,0.016445103998545575,12.556153333631462,0.03991067779526077,0.1280919353456271,0.12127652896946528,0.13503861653255023
37,8,8,16,0.07428023503716877,3.6653413782828137,0.018015672001274928,12.556153333631428,0.02972872072724861,0.11166398951810018,0.10694497645088516,0.11641274625469426
