# M4.1 archimedean Kahler density  Psi(r)=Re psi(1/4+i r/2)-log pi
"# PROVEN: Psi even, strictly increasing on r>0, unique zero r0, Psi~log(r/2pi)->+inf"
"# r0=6.2898359888369  gamma_1=14.1347251417  =>  Psi<0 ONLY on |r|<r0, strictly inside zero-free gap |r|<gamma_1"
r,Psi(r),Psi_prime(r)
0.0,-5.37218341922566558,0.0
0.25,-4.56189484351834783,5.20163985258
0.5,-3.33200459468089661,4.15565602122
0.75,-2.51595186475113482,2.48857760395
1.0,-2.0251461931034672,1.54119093621
1.25,-1.70762495706894545,1.05129401384
1.5,-1.48112751010637852,0.78587947857
1.75,-1.30572223265973994,0.629944709248
2.0,-1.16155709096757991,0.530051886368
2.25,-1.03817677547401555,0.460788615775
2.5,-0.929679153188285616,0.409515915743
2.75,-0.832480022954623886,0.369600859143
3.0,-0.744244059740397494,0.337349225608
3.25,-0.663351470810586122,0.310570566877
3.5,-0.588619064365986142,0.287883144064
3.75,-0.519146596905774333,0.268364222275
4.0,-0.454227321436407039,0.251366542818
4.25,-0.3932929293156626,0.236417406514
4.5,-0.335877832282895211,0.223160345002
4.75,-0.281594884570341281,0.211319660058
5.0,-0.230118218245597737,0.200677801346
5.25,-0.181170710947743097,0.191060295042
5.5,-0.134514595694943649,0.182325322111
5.75,-0.0899442764090648049,0.174356285099
6.0,-0.0472807363269222437,0.167056370176
6.25,-0.00636712368366840234,0.16034448532
6.5,0.0329347757913876287,0.154152173778
6.75,0.0707473876879878884,0.14842123443
7.0,0.107179671275616465,0.143101864216
7.25,0.142329028711033912,0.13815119222
7.5,0.176282886655053329,0.133532111595
7.75,0.209120015734975252,0.129212340616
8.0,0.24091163845514337,0.125163661887
8.25,0.271722365076286524,0.121361301352
8.5,0.30161098860734593,0.11778341795
8.75,0.330631163654340607,0.11441068155
9.0,0.358831988935992354,0.111225921809
9.25,0.386258509437150795,0.108213834422
9.5,0.41295215116111318,0.105360734088
9.75,0.438951099064237086,0.102654345748
10.0,0.464290626864930281,0.100083627341
10.25,0.489003385904861494,0.0976386186524
10.5,0.513119659020445397,0.0953103118941
10.75,0.536667584394360829,0.0930905404323
11.0,0.55967335355173648,0.0909718827758
11.25,0.582161387006323514,0.0889475794296
11.5,0.604154490519397253,0.0870114606451
11.75,0.625673994485523762,0.0851578834366
12.0,0.646739878586757934,0.0833816765065
12.25,0.66737088354610008,0.0816780919412
12.5,0.687584611550811998,0.0800427627282
12.75,0.707397616697421828,0.0784716652905
13.0,0.72682548662564137,0.0769610863594
13.25,0.745882916352088922,0.0755075936116
13.5,0.764583775181872055,0.0741080095798
13.75,0.782941167462837903,0.0727593884191
14.0,0.80096748785045013,0.0714589951705
14.25,0.818674471668176613,0.0702042872137
14.5,0.836073240876804047,0.0689928976448
14.75,0.853174346104441046,0.0678226203489
15.0,0.869987805135639135,0.0666913965693
15.25,0.88652313821180775,0.0655973028021
15.5,0.90278940045488497,0.0645385398642
15.75,0.918795211691176949,0.0635134230063
16.0,0.934548783921661086,0.062520372954
16.25,0.950057946658240156,0.0615579077784
16.5,0.965330170321911657,0.0606246355073
16.75,0.980372587878132248,0.0597192473991
17.0,0.995192014866431702,0.0588405118123
17.25,1.00979496796524006,0.0579872686084
17.5,1.02418768221865844,0.0571584240361
17.75,1.03837612703929012,0.0563529460481
18.0,1.05236602109005014,0.0555698600094
18.25,1.06616284613791179,0.0548082447586
18.5,1.0797718599636754,0.0540672289896
