# spectral_partial_sums_N400.csv
# WHAT THIS IS: the TRUNCATED partial sum  s_k(p) = sum_{n=1}^{400} gamma_n^k * cos(gamma_n*log p)
#   over the first N=400 nontrivial zeta zeros (height T ~ 530).
# WARNING 1 (cutoff-dependent / DIVERGENT): this sum does NOT converge as N grows.
#   The same s_k(p) changes by factors 3x-9x from N=200 to N=400 (verified). There is
#   no canonical value and no meaningful '80 digits'; every value here is an artifact of N=400.
# WARNING 2 (NOT P19 anatomy): P19's anatomy = Satake power sums sum_i alpha_{i,p}^k.
#   For zeta (degree 1, alpha_p=1) these are identically 1. This file is a DIFFERENT object.
# WARNING 3: any 'grading'/'positivity' computed from these values inherits the arbitrary N=400 cutoff.
p,k,value
2,1,"-17626.08330281349503892722085677104790297"
2,2,"-7898170.557403757287767224943036598032997"
2,3,"-3980392206.325485397238787442309388762129"
2,4,"-2139273889809.844715588853868431806217459"
2,5,"-1197418271011599.198685093474337169668803"
2,6,"-689235450534703260.2153829032852423207288"
2,7,"-404901544123134512904.3517220436607995760"
2,8,"-241586857217240200797427.2229814171131995"
2,9,"-145912356851043913187415425.3902355666884"
2,10,"-88996438909518949510797471326.74535791298"
2,11,"-54720653637098010373282093652037.70354677"
2,12,"-33872494778975142006539771873916223.24372"
3,1,"-23364.26224112820945732921810327526478438"
3,2,"-10599124.59460198736737567408427324952493"
3,3,"-5408771285.182663455192575275459384324487"
3,4,"-2944137842099.138530719359120935736694573"
3,5,"-1669354098404095.718007635849661613480808"
3,6,"-973587794863506748.4968943142691697283160"
3,7,"-579639960535358777079.2321572856123450900"
3,8,"-350576234811410350288707.8501583857155433"
3,9,"-214685651360487719530192348.0236839542835"
3,10,"-132797395617984080930720277690.3155584915"
3,11,"-82828773690308800825560804309031.25068732"
3,12,"-52023574899797693166902044724242080.98375"
5,1,"-26638.48213048455993647350191602408769352"
5,2,"-12113057.67517146016276706386975622811726"
5,3,"-6195431759.755090868489066344798821404646"
5,4,"-3379881995723.610406051064922701969358999"
5,5,"-1920628796406638.429570098740253183178673"
5,6,"-1122542106118083954.705360012883071829419"
5,7,"-669729193584876570593.1140164464028020818"
5,8,"-405898534912953660875405.9351769310851458"
5,9,"-249065001540106339550702534.1741653986276"
5,10,"-154366965399260920767068496887.2245843904"
5,11,"-96467603288068519863086759473191.09249770"
5,12,"-60703831625708695077827536898085529.64828"
7,1,"-27495.37227434474328887246596763550066371"
7,2,"-12565546.58963832820337814098648523252583"
7,3,"-6458067681.866274841058860357994266422161"
7,4,"-3539960551776.809007806051442212947117775"
7,5,"-2021015516483966.628624780229172530050402"
7,6,"-1186649563238155041.043601781779545691807"
7,7,"-711177372778201345736.8779911160435254511"
7,8,"-432933520002034893293195.2122169962325419"
7,9,"-266813995613676327948252165.7040494827231"
7,10,"-166077416863319598542318866685.3723749955"
7,11,"-104223865231472638026413491660952.8096320"
7,12,"-65856927069831223412223842168649681.87227"
11,1,"-27001.45842708982287659167058478703451465"
11,2,"-12339711.84461383325481678284807908857475"
11,3,"-6342560929.356402919397399496105980457128"
11,4,"-3477662723959.118186374231619498590448151"
11,5,"-1986425065918844.057109603586951814985581"
11,6,"-1167139802954153924.388863238057133070490"
11,7,"-700097219429101544888.8848385025566564793"
11,8,"-426640030124032481926136.0314226790685630"
11,9,"-263261067718802455470964851.2181347611990"
11,10,"-164097376090299009018187569001.2401328952"
11,11,"-103144081389690903723270372871437.2960277"
11,12,"-65288304908102826912216796474435342.84713"
13,1,"-26600.08265082050559565528299931109871884"
13,2,"-12165117.02107619160645702156826838986370"
13,3,"-6257457275.930448570913966093628431958270"
13,4,"-3433697344597.574576554314499012893029390"
13,5,"-1962936336996560.539381970914589247046535"
13,6,"-1154339073277657597.429356988174958693770"
13,7,"-693044681840172522838.1447294155654369227"
13,8,"-422738315640550926160518.4730106897689500"
13,9,"-261106358891797127551331045.1057411051939"
13,10,"-162916791224730052278011739519.0383891450"
13,11,"-102506990529745368718879379524058.6904729"
13,12,"-64953127687954624621096072651146065.53686"
17,1,"-25431.26434112838933135173706518770305393"
17,2,"-11580006.96797957971098305866578081350075"
17,3,"-5927651102.610013912723769308532539841914"
17,4,"-3237053019422.038812158532623899336363218"
17,5,"-1841691860125310.846835558790143892829899"
17,6,"-1077933148050244781.218357011729884336304"
17,7,"-644166500974914905563.2992289187736131881"
17,8,"-391132601490273549381626.1751804944154177"
17,9,"-240507496111401837707117577.1806322962483"
17,10,"-149411892973392744825553914023.3625705167"
17,11,"-93613022548074438423347788669495.02591622"
17,12,"-59075479413027751637606889751618671.90829"
19,1,"-24913.80202621182843673851278229707774798"
19,2,"-11325062.46549668343260650149524843530547"
19,3,"-5789253867.917601467891621439403893301185"
19,4,"-3157701917014.976079904978002440523769842"
19,5,"-1794673298227048.684428507134944717695488"
19,6,"-1049465950426949865.569491134820135118914"
19,7,"-626668167498211825721.8117537926286194032"
19,8,"-380254845165102310958909.5723373201607871"
19,9,"-233685589265689127593986174.1827092112439"
19,10,"-145102617116475584358377093322.7501794150"
19,11,"-90874087723903119022171249321516.66585672"
19,12,"-57325061136092287053658175338434745.66292"
23,1,"-23694.53646138283102270344241067646594570"
23,2,"-10676193.91286028926233232654322552372093"
23,3,"-5408227917.847514276443414808337293764558"
23,4,"-2922787715628.040334805892532398262577249"
23,5,"-1645677125598867.155514334002228890406374"
23,6,"-953237477840861583.7179209031265739451050"
23,7,"-563748628093010725336.1796481781658173833"
23,8,"-338750777232961182799385.1435483784715952"
23,9,"-206128738553119277819279689.4936001963659"
23,10,"-126714688950037733400129540330.0012080373"
23,11,"-78556366074153847559333190824874.83665321"
23,12,"-49047882122585050683655174155561598.19562"
29,1,"-23637.81865701971374625148072824903049682"
29,2,"-10889694.01138110188747414577807329027765"
29,3,"-5633278357.021672532127230563026151695166"
29,4,"-3107902621109.748852056171033737938572061"
29,5,"-1785775055624126.212470527733303871691202"
29,6,"-1055179620418233739.770907766934216703735"
29,7,"-636315048259828407981.9771201672328478519"
29,8,"-389704705926276990354739.1681690595294665"
29,9,"-241579788182678129070639474.9719445432148"
29,10,"-151219016121103641451644992166.9191566431"
29,11,"-95412089796137576246491844805029.71762156"
29,12,"-60599121629463072735065010637018331.21805"
31,1,"-25020.17470244664445057080302081301343922"
31,2,"-11899281.90167877872964178166667125321134"
31,3,"-6336571462.570031249120379914759295962724"
31,4,"-3590635753394.121234896750406081185331243"
31,5,"-2114826579901012.344759126353859034675297"
31,6,"-1278594862276058549.254510809335613440158"
31,7,"-787651053747302726393.1454469620553878197"
31,8,"-492071772681173974684467.7983851588035261"
31,9,"-310767004863171252010915449.0125859640788"
31,10,"-197961605587016604170337786024.3595951927"
31,11,"-126986910418614635616714109165910.9869174"
31,12,"-81929225507500808871125120835065348.49473"
37,1,"-23409.71853426246547203756311530248845380"
37,2,"-10990542.57946801592398335879268500953442"
37,3,"-5793489909.702702347774719407248389006022"
37,4,"-3254907568899.395419522426871403398438622"
37,5,"-1903386667389060.501770346471115597649003"
37,6,"-1143986035613661454.288786784778681342717"
37,7,"-701374074641071275511.2070404281578894572"
37,8,"-436523408035343693848850.6393333301155430"
37,9,"-274889568368117058951476784.0892871707341"
