case	beta	N	S_N	radius	shellMass	ratio	c_prefix
zeta		6	10622021.8207215934877311	9.41440355591423815237276e-8	0.0016555496190505626964247		
zeta		7	1121799125.91655806656093	8.9142519092529783397879e-10	0.00009877904018870055558188	105.610696800503284554065	
zeta		8	11507285985578.1861088562	8.69014641031149084295843e-14	0.00000352694221708547888430248	10257.8846067260386093725	6.94778079019338770329952
zeta		9	2591637814696.54049946667	3.85856385614242083458755e-13	5.23243091626876184992959e-8	0.225217120522126581084026	4.64504155740255794586569
zeta		10	50460432663613.5301184268	1.98175074452163613290462e-14	1.45589844210261887608762e-11	19.470480164112759060113	3.84926529552824202484458
zeta		11	4515859203303360.9552328	2.21441802097925860286636e-16	4.79469338007647500649253e-11	89.4930733830131816228607	3.71402863990544547279404
zeta		12	1681574175694465278469.42	5.94680873703959435177901e-22	3.48108810639252168103656e-12	372370.815827116590481371	4.64218877863989380652622
zeta		13	19170441718386306907.9284	5.21636389338333985871685e-20	4.93867049416190499146533e-14	0.0114002950303808024674389	4.26923010122103947062393
zeta		14	5486045627667125025623.27	1.82280656755171389716839e-22	1.91386370552926141677878e-18	286.172103296163327626021	4.18767360431829385388223
zeta		15	26080226280857810272895.3	3.83432256005375727585104e-23	1.94224712325387204800425e-17	4.75392077479824262391193	4.00277008405096790718682
zeta		16	512791768642082658989877.0	1.95010930586519991009132e-24	8.5946028173618454966984e-20	19.6620904711420439331071	3.85536463464163460250427
planted-b0.10	0.10	6	24.6365954582553422647302	0.0405900239622969276648832	0.673424737851020308799068		
planted-b0.10	0.10	7	20.3409874941225075744647	0.0491618216809261710895383	0.682244818273096156498076	0.825641169803214718529098	
planted-b0.10	0.10	8	196.790011226412404499292	0.00508155873241692165355442	0.92177101951518563250134	9.67455544050034595524203	1.03895213479246658766035
planted-b0.10	0.10	9	0.59995502223651131822672	1.6667916142650188835338	0.701942100073929097484651	0.00304870668230333249828094	-0.887590135333236827751192
planted-b0.10	0.10	10	5.23164970725820821073332	0.191144295959386367484188	0.531607659177100630513999	8.72006986083002234277377	-0.662255112401355781827288
planted-b0.10	0.10	11	14.3201633180784893666518	0.0698316058125922388650995	0.518017026000276145404709	2.73721753545754307216529	-0.359416960302861553608588
planted-b0.10	0.10	12	6085.10655045080457127741	0.00016433565981287817110326	0.123442341153997337340805	424.93276195870351231714	0.435669655756087932002472
planted-b0.10	0.10	13	213.403057400593669541274	0.00468596847758760406233752	0.0318930129721766011231176	0.035069732244012074682932	0.451448536987603111513777
planted-b0.10	0.10	14	673.630791446276895801828	0.00148449271128627076217887	0.0101920139879890007368176	3.15661265424964296231025	0.50534874628295766005855
planted-b0.10	0.10	15	84.9779356955304586866817	0.0117677605582574359002742	0.00740189758370102158025824	0.126149126160168379618812	0.392299437713736621872343
planted-b0.10	0.10	16	1609.9722722209367014344	0.000621128709639522208942764	0.00484070954748603508462275	18.9457682049296426382699	0.446512594637454550271862
planted-b0.20	0.20	6	0.347284280035957453694472	2.87948535964962490820629	0.732820501607173579773616		
planted-b0.20	0.20	7	0.27639701627901592287376	3.61798406315111896026162	0.806102223935485619776285	0.795881161826265395171615	
planted-b0.20	0.20	8	128.739189476970659592418	0.0077676425031313692041615	0.916687796772068808364573	465.776335830672084382651	2.95770007720256599436096
planted-b0.20	0.20	9	0.715657495543528078920724	1.39731646245180352302363	0.640256561476356491230474	0.00555897158006845714804032	0.831287954976632245613238
planted-b0.20	0.20	10	5.86400442571417009519017	0.170531931322376380091926	0.491477189763539978624946	8.19386991994064383924117	0.660425200328302167079042
planted-b0.20	0.20	11	15.5388438495355030964307	0.0643548522453227837538	0.492137939129992241380503	2.64986905217811902711774	0.656476559596850056013281
planted-b0.20	0.20	12	839.569752764137790571217	0.00119108626377698034792675	0.114295938294890549054519	54.0303873887782673234055	1.01218097984809038094111
planted-b0.20	0.20	13	76.3323358467360549073116	0.0131006078735472060728258	0.0305915789435547315286423	0.0909183967090585132511708	0.876226663778971057082558
planted-b0.20	0.20	14	25151.2845297212137707632	0.0000397594007104608256523423	0.00749513144822541531392198	329.49711613989177125441	1.14087071213966929850129
planted-b0.20	0.20	15	78.3390389693673166116516	0.0127650276689126484054177	0.00743369055958191111856765	0.00311471324165548119507702	0.898553742193840622094545
planted-b0.20	0.20	16	270.131189404929676681262	0.00370190499735663180424394	0.00548317173905115320799497	3.44823210699021057769462	0.781803936984953711755055
planted-b0.30	0.30	6	0.417494092732379537383397	2.39524347148311908192126	0.845119202308115869023139		
planted-b0.30	0.30	7	0.369674306049370706853663	2.70508386337904722425187	0.766712519080054379817775	0.885459968139807700598345	
planted-b0.30	0.30	8	51.916581138542822898166	0.01926166897106406153785	0.832349432891923100575928	140.438705879681193529508	2.41156155276086434692939
planted-b0.30	0.30	9	0.811799045096838206005059	1.23183194910103842749574	0.60211100659955607257714	0.015636604477681203258069	0.693971843573724545759877
planted-b0.30	0.30	10	6.24280330788927552980937	0.160184447704168535387215	0.464303899503043814896774	7.6900845666116563814774	0.619645889104689558573923
planted-b0.30	0.30	11	16.4662818847440345036998	0.0607301640406446149320891	0.475354013825403821194768	2.63764226944887850157731	0.648444123437251292663547
planted-b0.30	0.30	12	279.909609881941745650036	0.00357258187892074437940055	0.109528256057572690609359	16.9989565246831611612157	0.89280504689539009137806
planted-b0.30	0.30	13	67.9471995631191744794316	0.0147173100058532293427732	0.0312521543944952028305023	0.242746933882611081993287	0.802243694207322514084012
planted-b0.30	0.30	14	3009.26079515699666088884	0.000332307522701045533193043	0.00823684109102575600653505	44.2882240107859121135358	0.959213404541030876143181
planted-b0.30	0.30	15	89.7533055421896060540946	0.0111416509281648477731941	0.00790799720800991086578848	0.0298256986189550483816548	0.795219895699534214697222
planted-b0.30	0.30	16	220.331343974316380116656	0.0045386188908127758817057	0.00572565815565430010112316	2.45485492309525043611137	0.71044378948319891665266
planted-b0.40	0.40	6	0.640942752312492714750868	1.56020174405911422404216	0.613867630405479014102992		
planted-b0.40	0.40	7	0.487684629851447979764226	2.05050546765151636975751	0.643558226748596324288377	0.76088641004505269742438	
planted-b0.40	0.40	8	33.728769610695618233736	0.0296482798377232627415125	0.769628581568293907325206	69.1610265038896723943683	1.98158315341362121900402
planted-b0.40	0.40	9	0.870652940376713141299182	1.14856328351377429160995	0.577767210921883173197599	0.0258133620178253782440763	0.515534738327294858010902
planted-b0.40	0.40	10	6.34885615633840436349749	0.157508687450990088690525	0.448721556118704199921078	7.29206307348067804897645	0.516575408936759498728017
planted-b0.40	0.40	11	16.6994822348860176770879	0.0598820960994199051833214	0.465571614174852441787974	2.63031352792802321317398	0.581233835151984251786011
planted-b0.40	0.40	12	141.090037991932330929406	0.00708767262545624232678204	0.109076231847076753416191	8.4487672137036972656876	0.770696134197185162471007
planted-b0.40	0.40	13	64.6221680209328836163846	0.015474565936507619370446	0.0333355671743437607515724	0.458020771279599794469731	0.720344018969798022442982
planted-b0.40	0.40	14	694.560910058247245807707	0.00143975853739902815804646	0.010079458501327983762249	10.7480285996170851777419	0.807138254043981259925675
planted-b0.40	0.40	15	99.2289297191018851602231	0.0100777061974850345839936	0.00880969750282945915395039	0.14286569872004508818296	0.701161400235254051868513
planted-b0.40	0.40	16	206.627267796983682485315	0.00483963230343114408485382	0.00616353977812386767896801	2.08232889724706236576779	0.644825185851485790769237
