case	lambda	strength	beta	N	S_N	radius	shellMass	ratio
zeta-lam6	6			6	10622021.8207215934877311	9.41440355591423815237276e-8	0.0016555496190505626964247	
zeta-lam6	6			7	1121799125.91655806656093	8.9142519092529783397879e-10	0.00009877904018870055558188	105.610696800503284554065
zeta-lam6	6			8	11507285985578.1861088562	8.69014641031149084295843e-14	0.00000352694221708547888430248	10257.8846067260386093725
zeta-lam6	6			9	2591637814696.54049946667	3.85856385614242083458755e-13	5.23243091626876184992959e-8	0.225217120522126581084026
zeta-lam6	6			10	50460432663613.5301184268	1.98175074452163613290462e-14	1.45589844210261887608762e-11	19.470480164112759060113
zeta-lam6	6			11	4515859203303360.9552328	2.21441802097925860286636e-16	4.79469338007647500649253e-11	89.4930733830131816228607
zeta-lam6	6			12	1681574175694465278469.42	5.94680873703959435177901e-22	3.48108810639252168103656e-12	372370.815827116590481371
zeta-lam6	6			13	19170441718386306907.9284	5.21636389338333985871685e-20	4.93867049416190499146533e-14	0.0114002950303808024674389
zeta-lam6	6			14	5486045627667125025623.27	1.82280656755171389716839e-22	1.91386370552926141677878e-18	286.172103296163327626021
zeta-lam6	6			15	26080226280857810272895.3	3.83432256005375727585104e-23	1.94224712325387204800425e-17	4.75392077479824262391193
zeta-lam6	6			16	512791768642082658989877.0	1.95010930586519991009132e-24	8.5946028173618454966984e-20	19.6620904711420439331071
zeta-lam6	6			17	2.3277578503865818913606e+26	4.29597949732582885315043e-27	2.05243396319659164941343e-20	453.938224583964707635565
zeta-lam6	6			18	9.2132418646414135461445e+27	1.08539427781419778076307e-28	1.26788912557763642413307e-21	39.5798981544035018818884
plant-lam6-b0.10-s5.0	6	5.0	0.10	6	24.6365954582553422647302	0.0405900239622969276648832	0.673424737851020308799068	
plant-lam6-b0.10-s5.0	6	5.0	0.10	7	20.3409874941225075744647	0.0491618216809261710895383	0.682244818273096156498076	0.825641169803214718529098
plant-lam6-b0.10-s5.0	6	5.0	0.10	8	196.790011226412404499292	0.00508155873241692165355442	0.92177101951518563250134	9.67455544050034595524203
plant-lam6-b0.10-s5.0	6	5.0	0.10	9	0.59995502223651131822672	1.6667916142650188835338	0.701942100073929097484651	0.00304870668230333249828094
plant-lam6-b0.10-s5.0	6	5.0	0.10	10	5.23164970725820821073332	0.191144295959386367484188	0.531607659177100630513999	8.72006986083002234277377
plant-lam6-b0.10-s5.0	6	5.0	0.10	11	14.3201633180784893666518	0.0698316058125922388650995	0.518017026000276145404709	2.73721753545754307216529
plant-lam6-b0.10-s5.0	6	5.0	0.10	12	6085.10655045080457127741	0.00016433565981287817110326	0.123442341153997337340805	424.93276195870351231714
plant-lam6-b0.10-s5.0	6	5.0	0.10	13	213.403057400593669541274	0.00468596847758760406233752	0.0318930129721766011231176	0.035069732244012074682932
plant-lam6-b0.10-s5.0	6	5.0	0.10	14	673.630791446276895801828	0.00148449271128627076217887	0.0101920139879890007368176	3.15661265424964296231025
plant-lam6-b0.10-s5.0	6	5.0	0.10	15	84.9779356955304586866817	0.0117677605582574359002742	0.00740189758370102158025824	0.126149126160168379618812
plant-lam6-b0.10-s5.0	6	5.0	0.10	16	1609.9722722209367014344	0.000621128709639522208942764	0.00484070954748603508462275	18.9457682049296426382699
plant-lam6-b0.10-s5.0	6	5.0	0.10	17	791.570681941732044768428	0.00126331106345044061711305	0.0112431417970976591497497	0.49166727626294466924065
plant-lam6-b0.10-s5.0	6	5.0	0.10	18	950.283009519287086733794	0.0010523180883828101840411	0.0024122543664150788341382	1.20050303933469575378376
plant-lam6-b0.20-s5.0	6	5.0	0.20	6	0.347284280035957453694472	2.87948535964962490820629	0.732820501607173579773616	
plant-lam6-b0.20-s5.0	6	5.0	0.20	7	0.27639701627901592287376	3.61798406315111896026162	0.806102223935485619776285	0.795881161826265395171615
plant-lam6-b0.20-s5.0	6	5.0	0.20	8	128.739189476970659592418	0.0077676425031313692041615	0.916687796772068808364573	465.776335830672084382651
plant-lam6-b0.20-s5.0	6	5.0	0.20	9	0.715657495543528078920724	1.39731646245180352302363	0.640256561476356491230474	0.00555897158006845714804032
plant-lam6-b0.20-s5.0	6	5.0	0.20	10	5.86400442571417009519017	0.170531931322376380091926	0.491477189763539978624946	8.19386991994064383924117
plant-lam6-b0.20-s5.0	6	5.0	0.20	11	15.5388438495355030964307	0.0643548522453227837538	0.492137939129992241380503	2.64986905217811902711774
