case	lambda	strength	beta	N	S_N	radius	shellMass	ratio
zeta-lam6	6			6	10622021.8207215934877311	9.41440355591423815237276e-8	0.0016555496190505626964247	
zeta-lam6	6			7	1121799125.91655806656093	8.9142519092529783397879e-10	0.00009877904018870055558188	105.610696800503284554065
zeta-lam6	6			8	11507285985578.1861088562	8.69014641031149084295843e-14	0.00000352694221708547888430248	10257.8846067260386093725
zeta-lam6	6			9	2591637814696.54049946667	3.85856385614242083458755e-13	5.23243091626876184992959e-8	0.225217120522126581084026
zeta-lam6	6			10	50460432663613.5301184256	1.98175074452163613290467e-14	1.45589844210261887608765e-11	19.4704801641127590601125
zeta-lam6	6			11	4515859203303360.95529336	2.21441802097925860283667e-16	4.79469338007647500644366e-11	89.4930733830131816240629
zeta-lam6	6			12	1681574175694465274009.73	5.94680873703959436755046e-22	3.48108810639252168840673e-12	372370.815827116589488818
zeta-lam6	6			13	19170441718386320797.7278	5.21636389338333607923961e-20	4.93867049416190215483101e-14	0.0114002950303808107576715
zeta-lam6	6			14	5486045627667651178825.5	1.82280656755153907625409e-22	1.91386370552909633354467e-18	286.172103296190566347839
zeta-lam6	6			15	26080226280327720523707.2	3.83432256013169122712578e-23	1.94224712328664715581364e-17	4.75392077470116157939037
zeta-lam6	6			16	512791768696834618437335.0	1.95010930565698224329026e-24	8.5946028166148035346181e-20	19.6620904736410495534295
zeta-lam6	6			17	2.32775817936233357911319e+26	4.29597889018669520178022e-27	2.05243371919398259905307e-20	453.93828868936414696573
zeta-lam6	6			18	9.2132330292003327457036e+27	1.08539531870149116312238e-28	1.26789017929413913984378e-21	39.5798546038154494559531
plant-lam6-b0.30-s5.0	6	5.0	0.30	6	0.417494092732379537383397	2.39524347148311908192126	0.845119202308115869023139	
plant-lam6-b0.30-s5.0	6	5.0	0.30	7	0.369674306049370706853663	2.70508386337904722425187	0.766712519080054379817775	0.885459968139807700598345
plant-lam6-b0.30-s5.0	6	5.0	0.30	8	51.916581138542822898166	0.01926166897106406153785	0.832349432891923100575928	140.438705879681193529508
plant-lam6-b0.30-s5.0	6	5.0	0.30	9	0.811799045096838206005059	1.23183194910103842749574	0.60211100659955607257714	0.015636604477681203258069
plant-lam6-b0.30-s5.0	6	5.0	0.30	10	6.24280330788927552980937	0.160184447704168535387215	0.464303899503043814896774	7.6900845666116563814774
plant-lam6-b0.30-s5.0	6	5.0	0.30	11	16.4662818847440345036998	0.0607301640406446149320891	0.475354013825403821194768	2.63764226944887850157731
plant-lam6-b0.30-s5.0	6	5.0	0.30	12	279.909609881941745650036	0.00357258187892074437940055	0.109528256057572690609359	16.9989565246831611612157
plant-lam6-b0.30-s5.0	6	5.0	0.30	13	67.9471995631191744794316	0.0147173100058532293427732	0.0312521543944952028305023	0.242746933882611081993287
plant-lam6-b0.30-s5.0	6	5.0	0.30	14	3009.26079515699666088884	0.000332307522701045533193043	0.00823684109102575600653505	44.2882240107859121135358
plant-lam6-b0.30-s5.0	6	5.0	0.30	15	89.7533055421896060540946	0.0111416509281648477731941	0.00790799720800991086578848	0.0298256986189550483816548
plant-lam6-b0.30-s5.0	6	5.0	0.30	16	220.331343974316380116656	0.0045386188908127758817057	0.00572565815565430010112316	2.45485492309525043611137
plant-lam6-b0.30-s5.0	6	5.0	0.30	17	15587.5523059454916063407	0.0000641537542503433584366763	0.00669799682721480067109922	70.745959357296454083973
plant-lam6-b0.30-s5.0	6	5.0	0.30	18	272.061600784219939664228	0.00367563815370302633254924	0.00254700516529530908622121	0.0174537730776658679330936
